age,monthly_salary,credit_score,existing_emi,requested_amount,tenure_months,missed_payments,proposed_emi,foir,approved
53,223059,760,3267,1721624,24,0,71734.33333333333,33.62398886991035,1
39,206922,799,6564,386633,24,0,16109.708333333334,10.957611241595062,1
32,203184,780,21312,1919374,48,0,39986.958333333336,30.1691857298475,1
45,181789,805,18990,1034874,48,0,21559.875,22.306011364824055,1
43,215130,828,11411,1089493,48,0,22697.770833333332,15.854957854940421,1
47,236492,822,5906,596210,24,0,24842.083333333332,13.001743540302984,1
35,98890,836,16028,978799,84,0,11652.369047619048,27.991069923772926,1
35,126017,832,19657,1636564,48,0,34095.083333333336,42.654628608309466,1
48,238376,758,7611,1610295,36,0,44730.416666666664,21.957502712801062,1
48,223993,848,17297,988245,48,0,20588.4375,16.913670293268094,1
27,192596,770,2011,1079459,60,0,17990.983333333334,10.3854614495282,1
46,160424,822,17826,284381,48,0,5924.604166666667,14.804894633388187,1
26,75048,777,21930,1041708,24,0,43404.5,87.05695021852681,0
48,226183,811,11246,393984,48,0,8208.0,8.60100007516038,1
54,228976,756,13790,1308848,60,0,21814.133333333335,15.549286096941744,1
26,114912,829,11738,1744492,36,0,48458.11111111111,52.38452999783409,1
45,94008,765,14730,1945987,84,0,23166.511904761905,40.31200738741587,1
57,191132,846,11120,1196358,48,0,24924.125,18.858236715986855,1
36,143559,753,18213,938096,60,0,15634.933333333332,23.577716014553832,1
46,115337,753,8767,453091,60,0,7551.516666666666,14.148553080682404,1
49,170616,789,22852,1052050,36,0,29223.61111111111,30.52211463819988,1
51,73350,766,13703,464064,24,0,19336.0,45.04294478527607,1
52,84354,801,929,1354697,48,0,28222.854166666668,34.558947016936564,1
40,105186,842,11951,670435,60,0,11173.916666666666,21.98478568123768,1
39,88145,801,20083,801160,36,0,22254.444444444445,48.03158936348567,1
27,225092,785,15845,464237,84,0,5526.630952380952,9.494620400716576,1
31,146123,787,17438,475049,60,0,7917.483333333334,17.35215081358399,1
45,80581,799,15747,846047,36,0,23501.305555555555,48.70664989954897,1
33,148929,812,5744,617567,24,0,25731.958333333332,21.134875231374235,1
42,83051,812,18284,1541701,24,0,64237.541666666664,99.36249011651475,0
28,111474,811,9649,1619920,60,0,26998.666666666668,32.87552852384114,1
49,151748,848,6980,282289,60,0,4704.816666666667,7.7001454165238865,1
38,185995,756,7069,840794,48,0,17516.541666666668,13.218388487145713,1
33,129626,776,9591,1851377,36,0,51427.13888888889,47.07245374299052,1
50,66960,841,19799,1661666,60,0,27694.433333333334,70.92806650736759,0
26,226844,835,442,1954867,48,0,40726.395833333336,18.148329174822052,1
44,212592,763,22602,1649466,48,0,34363.875,26.79586955294649,1
52,240553,820,4652,1561236,60,0,26020.6,12.75086987067299,1
31,96408,835,24323,459480,24,0,19145.0,45.08754460210771,1
32,154006,754,24217,1964622,36,0,54572.833333333336,51.160236181274335,1
59,117134,804,9370,1736643,36,0,48240.083333333336,49.18305814992516,1
38,211563,751,7597,1579932,24,0,65830.5,34.7071557881104,1
41,192413,811,14325,333498,60,0,5558.3,10.333657289268396,1
